"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72766","Translation","294/4735","360/11287",0.816666666666667,1.94671946497712,15.5190508305706,1.3295454425784e-55,2.26953407048133e-52,2.26953407048133e-52,"PELO/EIF4A1/RPS12/NARS2/RPS29/RPL6/MRPL14/RPL17/RPL9/RPS23/IARS2/MRPL27/RPS28/EIF5B/MTRF1L/RPL15/MRPL39/RPL21/PSMA4/GADD45GIP1/PSMB7/MT-ND4L/PSMC1/FARSB/MRPL43/MRPS18A/RPL19/EEF1A1/RPL37A/MT-ND4/PSMB1/PSMD3/RPS20/MRPL55/MRPS2/PSMD8/MRPS30/MRPL9/SRP14/RPL41/PSMD14/SEC11C/MRPL10/EEF1G/MRPL12/SRP72/RPS6/SRP9/RPLP2/RPL18A/MRPL15/MT-CO3/RPL3/MRPL49/RPS3/SEC61B/RPS15A/RPS13/RPL23/MRPL4/MRPS14/PSMB2/MT-ATP8/MRPL2/MRPS18C/PSMA3/OXA1L/PSMB6/MRPS26/PPA2/RARS2/RPL4/MRPL24/PSMB3/MRPS7/MRPS11/PSMA2/MRPL48/MT-CO1/RPL27/MRPL41/AIMP1/RPL5/EIF2B5/MRPS33/ADRM1/RPL38/PSMD2/EIF5/MTIF2/MRPL19/MRPL16/VCP/MRPL35/RPS19/RPL36AL/EEF1B2/RPS18/RPS5/MRPL13/TUFM/SEC61G/RPL26/MRPS16/TRMT112/MRPL46/PSMD13/MALSU1/SRPRB/EIF3L/NDUFAB1/FARS2/SSR4/PSMC3/EIF3D/PSMD1/SRP68/TCF25/YARS2/RPS27/RPL22L1/RPLP0/PSMA5/AURKAIP1/EIF4G1/MRPL3/EIF3E/SRPRA/MRPS6/MRPL18/EIF3J/MRPL54/EIF4H/MRPL20/RPL10/RPS3A/RPL27A/MRPS22/EIF1AX/NEMF/MRPL11/MT-CO2/MT-ND5/RPL13A/GSPT1/MRPS24/PSMD6/MRPS34/PPA1/EEF2/MRPL21/RPL37/EIF2S1/SPCS1/SRP19/MRPS5/PSMC4/EIF3B/EIF3F/RPL12/MRPL34/EIF4A2/MRPS18B/DAP3/EIF2B2/RPS8/MIEF1/RPL23A/PSMD12/SSR3/MT-ATP6/CARS2/MRPS10/EIF2S3/RPL26L1/GFM1/EIF3I/RPLP1/MRPS9/MRPS28/PSMB5/SEC11A/UBE2D2/RPL14/RPL39/RPS24/RPS11/EIF2B1/RPS4X/RPL7A/RPS2/PTCD3/RPL39L/ETF1/UBC/ERAL1/FARSA/MRPL28/APEH/PSMA7/RPL24/RPS7/MRPS12/RPL36A/MRPL17/EIF4EBP1/RPS16/RPL13/SSR2/CUL2/MT-ND3/TSFM/EIF2S2/EIF2B4/ABCE1/RPS17/RPN1/EIF3G/MRPL33/RBX1/SRP54/CHCHD1/UBE2D1/MT-ND1/RPS10/EIF2B3/MRPL44/EIF4B/PABPC1/MTFMT/DDOST/MRPL38/SPCS2/RPL8/UBE2D3/NPLOC4/RPS27A/MRPS25/AIMP2/SSR1/RPL28/MRPL42/PSMC6/MT-ND6/MT-ND2/PSMD7/MRPL40/MRPL47/MRPS23/EIF3M/RPN2/RPSA/MRPL22/MRPL52/MRPS15/MTIF3/RPL22/MRPS35/MT-CYB/EEF1D/EIF3K/MRPL57/SEC61A1/RPS25/PSMA6/MRPL51/PSMB4/RPL7/ASCC3/UBA52/EIF4E/MRPL32/RPL11/EIF3A/MRPS21/RPS26/MRRF/MRPL37/SPCS3/RPS14/PSMC2/EIF3H/PSMC5/PSMD11/MRPL36/RPS21/RPS15/TRAM1/RPS27L/RPL18/ANKZF1/UBB/MRPS27/FAU",294
"R-HSA-6798695","Neutrophil degranulation","325/4735","475/11287",0.684210526315789,1.63097871394431,11.9440486902491,1.19510130616622e-32,1.02001896481287e-29,1.02001896481287e-29,"LAIR1/CFP/PFKL/MLEC/PTPRJ/HMOX2/KCNAB2/LAMP2/PYCARD/RAP2B/MCEMP1/NPC2/ILF2/DOCK2/NCKAP1L/PSMB7/CKAP4/CSTB/TYROBP/MVP/EEF1A1/FABP5/ATP6V0C/PSMB1/GDI2/PSMD3/B4GALT1/ERP44/NCSTN/CYBA/CCT2/CAP1/CPPED1/HSP90AA1/SRP14/CTSD/PSMD14/DEGS1/LAMTOR1/MAPK1/PA2G4/LILRB2/FTL/SNAP29/TMBIM1/ASAH1/IQGAP2/CMTM6/C1orf35/CNN2/SLC2A3/CTSS/CCT8/LYZ/PLEKHO2/NFKB1/CALML5/PLAC8/RAB10/FUCA2/FCER1G/GLB1/VAPA/RAP1A/PSAP/PTPRC/IMPDH1/IMPDH2/NDUFC2/PTPN6/ADGRE5/NHLRC3/C3/GRN/RAB24/PPIA/PSMA2/KCMF1/PLAU/DNAJC13/PAFAH1B2/HVCN1/ACAA1/ARSA/GYG1/AP2A2/TUBB4B/MAN2B1/PECAM1/FCGR2A/HSP90AB1/PSMD2/DYNC1LI1/VCP/HSPA8/MAGT1/S100A8/LAMTOR2/HEXB/GLA/XRCC5/PYGL/GCA/GSTP1/PSMD13/IGF2R/COPB1/IST1/STOM/SURF4/VAMP8/PSMC3/PDXK/PSMD1/RAB31/DDX3X/PTGES2/PKM/PSMA5/ATP6V1D/ARL8A/SNAP23/PDAP1/TBC1D10C/GUSB/CST3/CXCL1/CTSC/ATP6AP2/S100A9/CD63/SERPINA1/COMMD3/NAPRT/PKP1/GPI/GOLGA7/RHOF/ALOX5/PSMD6/NEU1/EEF2/FPR1/ATP6V0A1/CD47/OSCAR/FCN1/GNS/ADAM10/PRKCD/OSTF1/FUCA1/CD53/DYNC1H1/IQGAP1/BRI3/TIMP2/DNASE1L1/COMMD9/CTSH/RAB18/HMGB1/CEP290/PPIE/HLA-C/HSPA1B/PSMD12/ADAM8/LTF/GLIPR1/C3AR1/ARMC8/SLC44A2/TCIRG1/CYSTM1/GSN/CYFIP1/RNASET2/CTSA/ACLY/SLC11A1/S100P/GAA/MGST1/RAB5B/OLR1/CD300A/CD36/SYNGR1/PTAFR/DNAJC5/S100A11/DPP7/RHOG/LAMP1/SDCBP/GGH/ROCK1/SERPINB6/HEBP2/SPTAN1/ARHGAP9/KPNB1/AGPAT2/PADI2/SIGLEC9/TOLLIP/CD44/CYBB/PGM1/HLA-B/CTSB/CPNE3/PTPRB/CSNK2B/PGAM1/A1BG/CFD/CTSZ/TNFRSF1B/SIRPA/MME/RAC1/LGALS3/TUBB/APRT/TOM1/CD55/C6orf120/BIN2/APEH/RAB7A/DBNL/MIF/CD58/ATG7/PLAUR/ANPEP/MMP9/PGM2/RAB5C/DOK3/SELL/DERA/DSP/HSPA1A/SCAMP1/CD33/TNFAIP6/CD93/SLPI/SVIP/ITGB2/RAB14/CD14/PNP/CAT/YPEL5/LTA4H/ITGAX/ARPC5/FTH1/TLR2/GSDMD/C5AR1/COTL1/CREG1/TSPAN14/IDH1/MNDA/DYNLL1/DDOST/FGL2/ALDOA/GMFG/B2M/PRCP/CLEC4C/HSPA6/DSG1/DNAJC3/PGRMC1/DSN1/PSMD7/ACTR10/FGR/S100A7/RHOA/RAP1B/TRAPPC1/GM2A/UBR4/VCL/VAT1/NME2/FAF2/CD59/CAB39/LAMTOR3/CRISPLD2/PYGB/RAB6A/ACTR2/CANT1/DYNLT1/JUP/PSMC2/ATAD3B/PSMD11/ANXA2/CYB5R3/CD68/CAPN1/PRDX4/NRAS/NIT2/MANBA/ITGAV/QSOX1/TMEM179B/XRCC6/ANO6/AP1M1/ITGAM/PRDX6",325
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","222/4735","294/11287",0.755102040816326,1.79996551947072,11.8148956343663,2.37779574022278e-32,1.35296577618676e-29,1.35296577618676e-29,"TXNL4A/SF3B5/SYF2/ZMAT5/PPP1R10/HNRNPA3/LSM7/HNRNPC/POLR2I/RBMX/WBP11/SART1/PHF5A/SNU13/NDC1/POLR2H/SNRNP70/PDCD7/IK/WDR70/NXF1/CWC25/DDX39A/SNRPF/SF3B2/HTATSF1/SNRPB/ZCRB1/NSRP1/DHX9/SNRPE/PQBP1/SRSF4/EFTUD2/RBM25/SNRNP40/PTBP1/PCF11/PCBP2/SF3B1/C9orf78/PNN/SRRT/SNRPA1/ZC3H11A/PPP1R8/HNRNPH1/LSM8/SF3B4/LSM4/SLBP/PUF60/PPP1CB/LSM3/NUP54/HNRNPA1/PPIH/POLR2L/SRSF10/THOC3/RBMX2/PPIL3/YBX1/UPF3B/POLR2D/DDX23/EIF4A3/RBBP6/U2SURP/DDX46/HSPA8/RAE1/NXT1/BCAS2/CSTF3/PRPF40A/NUP50/POLR2A/NCBP2/PRPF38A/HNRNPM/SRSF1/THOC5/PABPN1/NUP205/PRPF8/FUS/HNRNPA2B1/TCERG1/ACIN1/USP39/SF3A2/LSM2/HNRNPU/CPSF3/FYTTD1/SNRPD3/HNRNPR/BUD13/FAM32A/SRRM2/PCBP1/SF3A3/GTF2F2/SLU7/LSM6/RBM10/SNRNP35/PRCC/PLRG1/NUP214/THOC6/ZMAT2/MAGOHB/SNRPA/NCBP1/SRSF3/POLR2C/SRSF11/UBL5/WDR33/XRN2/CHTOP/PPIE/POLDIP3/BUD31/POLR2G/LUC7L3/RBM8A/POLR2E/DDX5/SRSF5/CWC27/POLR2B/FAM50A/SNRNP27/DHX16/PRPF19/SEH1L/SNRPD2/POLR2F/TPR/HNRNPF/PRKRIP1/RBM17/SF3B6/SNRNP25/CSTF1/THOC1/SNRPC/U2AF2/SMU1/NUP107/WTAP/CDC5L/HNRNPL/TRA2B/SRSF9/CCAR1/NUP37/UBC/PAPOLA/PPIL1/CWC15/GTF2F1/RBM39/PRPF6/PPIG/SEC13/SAP18/SRSF2/DDX42/CPSF6/PRPF31/GCFC2/NUDT21/NUP88/SNRPG/PPP1CA/PRPF3/CPSF4/SRRM1/SMNDC1/DHX15/PRPF4/CCDC12/SF3A1/NUP133/CHERP/XAB2/ZNF830/POM121/LSM5/RPS27A/THOC2/NUP62/RNPS1/RBM22/CPSF2/RANBP2/NUP85/HNRNPH2/SF1/RBM42/POLR2J/HNRNPD/PRPF18/UBA52/EIF4E/DDX41/AAAS/SNRPD1/SRSF6/NUP93/DNAJC8/THOC7/POLR2K/MAGOH/SRSF7/SF3B3/NKAP/UBB",222
"R-HSA-72613","Eukaryotic Translation Initiation","105/4735","113/11287",0.929203539823009,2.21497789946828,11.0343393635418,9.30720693666624e-31,2.71991422795478e-28,2.71991422795478e-28,"EIF4A1/RPS12/RPS29/RPL6/RPL17/RPL9/RPS23/RPS28/EIF5B/RPL15/RPL21/RPL19/RPL37A/RPS20/RPL41/RPS6/RPLP2/RPL18A/RPL3/RPS3/RPS15A/RPS13/RPL23/RPL4/RPL27/RPL5/EIF2B5/RPL38/EIF5/RPS19/RPL36AL/RPS18/RPS5/RPL26/EIF3L/EIF3D/RPS27/RPL22L1/RPLP0/EIF4G1/EIF3E/EIF3J/EIF4H/RPL10/RPS3A/RPL27A/EIF1AX/RPL13A/RPL37/EIF2S1/EIF3B/EIF3F/RPL12/EIF4A2/EIF2B2/RPS8/RPL23A/EIF2S3/RPL26L1/EIF3I/RPLP1/RPL14/RPL39/RPS24/RPS11/EIF2B1/RPS4X/RPL7A/RPS2/RPL39L/RPL24/RPS7/RPL36A/EIF4EBP1/RPS16/RPL13/EIF2S2/EIF2B4/RPS17/EIF3G/RPS10/EIF2B3/EIF4B/PABPC1/RPL8/RPS27A/RPL28/EIF3M/RPSA/RPL22/EIF3K/RPS25/RPL7/UBA52/EIF4E/RPL11/EIF3A/RPS26/RPS14/EIF3H/RPS21/RPS15/RPS27L/RPL18/FAU",105
"R-HSA-72737","Cap-dependent Translation Initiation","105/4735","113/11287",0.929203539823009,2.21497789946828,11.0343393635418,9.30720693666624e-31,2.71991422795478e-28,2.71991422795478e-28,"EIF4A1/RPS12/RPS29/RPL6/RPL17/RPL9/RPS23/RPS28/EIF5B/RPL15/RPL21/RPL19/RPL37A/RPS20/RPL41/RPS6/RPLP2/RPL18A/RPL3/RPS3/RPS15A/RPS13/RPL23/RPL4/RPL27/RPL5/EIF2B5/RPL38/EIF5/RPS19/RPL36AL/RPS18/RPS5/RPL26/EIF3L/EIF3D/RPS27/RPL22L1/RPLP0/EIF4G1/EIF3E/EIF3J/EIF4H/RPL10/RPS3A/RPL27A/EIF1AX/RPL13A/RPL37/EIF2S1/EIF3B/EIF3F/RPL12/EIF4A2/EIF2B2/RPS8/RPL23A/EIF2S3/RPL26L1/EIF3I/RPLP1/RPL14/RPL39/RPS24/RPS11/EIF2B1/RPS4X/RPL7A/RPS2/RPL39L/RPL24/RPS7/RPL36A/EIF4EBP1/RPS16/RPL13/EIF2S2/EIF2B4/RPS17/EIF3G/RPS10/EIF2B3/EIF4B/PABPC1/RPL8/RPS27A/RPL28/EIF3M/RPSA/RPL22/EIF3K/RPS25/RPL7/UBA52/EIF4E/RPL11/EIF3A/RPS26/RPS14/EIF3H/RPS21/RPS15/RPS27L/RPL18/FAU",105
"R-HSA-72312","rRNA processing","159/4735","194/11287",0.819587628865979,1.95368227391981,11.3899846610941,9.56033120546497e-31,2.71991422795478e-28,2.71991422795478e-28,"LTV1/RPS12/RPS29/RPL6/RPP38/RIOK1/RPL17/RPL9/RPS23/RPS28/SNU13/RPL15/RPL21/RPUSD4/RPL19/RPL37A/RPS20/TBL3/RPUSD3/RPL41/RPS6/FBL/FASTKD2/RPLP2/RPL18A/RPL3/RPS3/RPS15A/DKC1/RPS13/RPL23/DIMT1/WDR12/HSD17B10/EXOSC10/RPL4/NIP7/WDR46/EBNA1BP2/RPL27/IMP3/TSR3/RPP30/RPL5/WDR43/RPP14/RPL38/RPS19/RPL36AL/GAR1/TFB1M/RPS18/RRP7A/RPS5/DDX49/RPL26/TRMT112/NOP14/RPS27/RPL22L1/RPLP0/PDCD11/PES1/UTP6/NOB1/PELP1/PNO1/NOP2/RRP1/RPL10/RBM28/RPS3A/RPL27A/NOC4L/BMS1/RPL13A/NOP56/RPP40/NOP58/RPL37/ISG20L2/C1D/RCL1/IMP4/RPL12/HEATR1/XRN2/RPS8/RPL23A/NCL/LAS1L/TRMT10C/RPL26L1/RPLP1/ELAC2/RPL14/RPL39/RPS24/RPS11/RPS4X/RRP9/RPL7A/RPS2/RPL39L/RRP36/NAT10/RPL24/MPHOSPH10/RPS7/RPL36A/NGRN/DDX21/NHP2/RPS16/RPL13/DDX52/WDR18/DCAF13/WDR3/GNL3/KRR1/RPS17/TSR1/UTP20/UTP18/NOL9/RPS10/MTERF3/WDR75/NOL11/RPL8/RPS27A/TRUB2/RPL28/MPHOSPH6/DDX47/RPSA/UTP4/BOP1/RPL22/ERI1/RPS25/RPL7/NSUN4/UBA52/RPL11/RPS26/RPS14/CSNK1D/BYSL/RPS21/RPS15/UTP14A/CSNK1E/NOP10/RPS27L/RPL18/FTSJ3/FAU",159
"R-HSA-8868773","rRNA processing in the nucleus and cytosol","148/4735","177/11287",0.836158192090395,1.99318215715402,11.3214377424534,1.37027406189365e-30,3.34151117664636e-28,3.34151117664636e-28,"LTV1/RPS12/RPS29/RPL6/RPP38/RIOK1/RPL17/RPL9/RPS23/RPS28/SNU13/RPL15/RPL21/RPL19/RPL37A/RPS20/TBL3/RPL41/RPS6/FBL/RPLP2/RPL18A/RPL3/RPS3/RPS15A/DKC1/RPS13/RPL23/DIMT1/WDR12/EXOSC10/RPL4/NIP7/WDR46/EBNA1BP2/RPL27/IMP3/TSR3/RPP30/RPL5/WDR43/RPP14/RPL38/RPS19/RPL36AL/GAR1/RPS18/RRP7A/RPS5/DDX49/RPL26/TRMT112/NOP14/RPS27/RPL22L1/RPLP0/PDCD11/PES1/UTP6/NOB1/PELP1/PNO1/NOP2/RRP1/RPL10/RBM28/RPS3A/RPL27A/NOC4L/BMS1/RPL13A/NOP56/RPP40/NOP58/RPL37/ISG20L2/C1D/RCL1/IMP4/RPL12/HEATR1/XRN2/RPS8/RPL23A/NCL/LAS1L/RPL26L1/RPLP1/RPL14/RPL39/RPS24/RPS11/RPS4X/RRP9/RPL7A/RPS2/RPL39L/RRP36/NAT10/RPL24/MPHOSPH10/RPS7/RPL36A/DDX21/NHP2/RPS16/RPL13/DDX52/WDR18/DCAF13/WDR3/GNL3/KRR1/RPS17/TSR1/UTP20/UTP18/NOL9/RPS10/WDR75/NOL11/RPL8/RPS27A/RPL28/MPHOSPH6/DDX47/RPSA/UTP4/BOP1/RPL22/ERI1/RPS25/RPL7/UBA52/RPL11/RPS26/RPS14/CSNK1D/BYSL/RPS21/RPS15/UTP14A/CSNK1E/NOP10/RPS27L/RPL18/FTSJ3/FAU",148
"R-HSA-168255","Influenza Infection","130/4735","150/11287",0.866666666666667,2.06590637099613,11.1718127518872,3.05190878067507e-30,6.51201036076544e-28,6.51201036076544e-28,"RPS12/RPS29/RPL6/RPL17/RAN/RPL9/POLR2I/RPS23/RPS28/NDC1/RPL15/RPL21/POLR2H/RPL19/RPL37A/TGFB1/RPS20/HSP90AA1/RPL41/CANX/RPS6/RPLP2/RPL18A/RPL3/RPS3/RPS15A/RPS13/RPL23/GRSF1/RPL4/NUP54/POLR2L/RPL27/RPL5/EIF2AK2/SLC25A6/POLR2D/RPL38/RAE1/RPS19/RPL36AL/RPS18/RPS5/RPL26/ISG15/NUP50/POLR2A/PARP1/PABPN1/KPNA4/NUP205/RPS27/RPL22L1/RPLP0/CALR/IPO5/RPL10/GTF2F2/RPS3A/RPL27A/RPL13A/NUP214/RPL37/POLR2C/RPL12/RPS8/POLR2G/RPL23A/POLR2E/CLTA/RPL26L1/POLR2B/RPLP1/SEH1L/POLR2F/TPR/KPNB1/RPL14/RPL39/RPS24/RPS11/RPS4X/NUP107/RPL7A/RPS2/RPL39L/NUP37/GTF2F1/RPL24/RPS7/RPL36A/KPNA2/RPS16/RPL13/KPNA1/SEC13/RPS17/NUP88/CPSF4/KPNA3/RPS10/NUP133/POM121/CLTC/RPL8/RPS27A/GBP1/NUP62/RPL28/DNAJC3/RANBP2/NUP85/RPSA/XPO1/POLR2J/RPL22/RPS25/RPL7/UBA52/AAAS/RPL11/RPS26/RPS14/NUP93/RPS21/RPS15/POLR2K/RPS27L/RPL18/FAU",130
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","139/4735","167/11287",0.832335329341317,1.98406945349006,10.8911731673519,2.21459024040297e-28,4.06100138329535e-26,4.06100138329535e-26,"LTV1/RPS12/RPS29/RPL6/RPP38/RIOK1/RPL17/RPL9/RPS23/RPS28/SNU13/RPL15/RPL21/RPL19/RPL37A/RPS20/TBL3/RPL41/RPS6/FBL/RPLP2/RPL18A/RPL3/RPS3/RPS15A/RPS13/RPL23/WDR12/EXOSC10/RPL4/NIP7/WDR46/EBNA1BP2/RPL27/IMP3/RPP30/RPL5/WDR43/RPP14/RPL38/RPS19/RPL36AL/RPS18/RRP7A/RPS5/DDX49/RPL26/NOP14/RPS27/RPL22L1/RPLP0/PDCD11/PES1/UTP6/NOB1/PELP1/PNO1/RRP1/RPL10/RBM28/RPS3A/RPL27A/NOC4L/BMS1/RPL13A/NOP56/RPP40/NOP58/RPL37/ISG20L2/C1D/RCL1/IMP4/RPL12/HEATR1/XRN2/RPS8/RPL23A/NCL/LAS1L/RPL26L1/RPLP1/RPL14/RPL39/RPS24/RPS11/RPS4X/RRP9/RPL7A/RPS2/RPL39L/RRP36/RPL24/MPHOSPH10/RPS7/RPL36A/DDX21/RPS16/RPL13/DDX52/WDR18/DCAF13/WDR3/GNL3/KRR1/RPS17/TSR1/UTP20/UTP18/NOL9/RPS10/WDR75/NOL11/RPL8/RPS27A/RPL28/MPHOSPH6/DDX47/RPSA/UTP4/BOP1/RPL22/ERI1/RPS25/RPL7/UBA52/RPL11/RPS26/RPS14/CSNK1D/BYSL/RPS21/RPS15/UTP14A/CSNK1E/RPS27L/RPL18/FTSJ3/FAU",139
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","98/4735","106/11287",0.924528301886792,2.20383335657787,10.5857602086879,2.61693117845629e-28,4.06100138329535e-26,4.06100138329535e-26,"EIF4A1/RPS12/RPS29/RPL6/RPL17/RPL9/RPS23/RPS28/EIF5B/RPL15/RPL21/RPL19/RPL37A/RPS20/RPL41/RPS6/RPLP2/RPL18A/RPL3/RPS3/RPS15A/RPS13/RPL23/RPL4/RPL27/RPL5/RPL38/EIF5/RPS19/RPL36AL/RPS18/RPS5/RPL26/EIF3L/EIF3D/RPS27/RPL22L1/RPLP0/EIF4G1/EIF3E/EIF3J/EIF4H/RPL10/RPS3A/RPL27A/EIF1AX/RPL13A/RPL37/EIF2S1/EIF3B/EIF3F/RPL12/EIF4A2/RPS8/RPL23A/EIF2S3/RPL26L1/EIF3I/RPLP1/RPL14/RPL39/RPS24/RPS11/RPS4X/RPL7A/RPS2/RPL39L/RPL24/RPS7/RPL36A/RPS16/RPL13/EIF2S2/RPS17/EIF3G/RPS10/EIF4B/RPL8/RPS27A/RPL28/EIF3M/RPSA/RPL22/EIF3K/RPS25/RPL7/UBA52/EIF4E/RPL11/EIF3A/RPS26/RPS14/EIF3H/RPS21/RPS15/RPS27L/RPL18/FAU",98
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","98/4735","106/11287",0.924528301886792,2.20383335657787,10.5857602086879,2.61693117845629e-28,4.06100138329535e-26,4.06100138329535e-26,"RPS12/RPS29/RPL6/RPL17/RPL9/RPS23/RPS28/RPL15/RPL21/RPL19/RPL37A/RPS20/SRP14/RPL41/SEC11C/SRP72/RPS6/SRP9/RPLP2/RPL18A/RPL3/RPS3/SEC61B/RPS15A/RPS13/RPL23/RPL4/RPL27/RPL5/RPL38/RPS19/RPL36AL/RPS18/RPS5/SEC61G/RPL26/SRPRB/SSR4/SRP68/RPS27/RPL22L1/RPLP0/SRPRA/RPL10/RPS3A/RPL27A/RPL13A/RPL37/SPCS1/SRP19/RPL12/RPS8/RPL23A/SSR3/RPL26L1/RPLP1/SEC11A/RPL14/RPL39/RPS24/RPS11/RPS4X/RPL7A/RPS2/RPL39L/RPL24/RPS7/RPL36A/RPS16/RPL13/SSR2/RPS17/RPN1/SRP54/RPS10/DDOST/SPCS2/RPL8/RPS27A/SSR1/RPL28/RPN2/RPSA/RPL22/SEC61A1/RPS25/RPL7/UBA52/RPL11/RPS26/SPCS3/RPS14/RPS21/RPS15/TRAM1/RPS27L/RPL18/FAU",98
"R-HSA-9948299","Ribosome-associated quality control","119/4735","137/11287",0.868613138686131,2.07054625054918,10.7169537110706,5.63241409361499e-28,7.66410760219595e-26,7.66410760219595e-26,"PELO/RPS12/RPS29/RPL6/RPL17/RPL9/RPS23/RPS28/RPL15/RPL21/PSMA4/PSMB7/PSMC1/RPL19/RPL37A/PSMB1/PSMD3/RPS20/PSMD8/RPL41/PSMD14/RPS6/RPLP2/RPL18A/RPL3/RPS3/RPS15A/RPS13/RPL23/PSMB2/PSMA3/PSMB6/RPL4/PSMB3/PSMA2/RPL27/RPL5/ADRM1/RPL38/PSMD2/VCP/RPS19/RPL36AL/RPS18/RPS5/RPL26/PSMD13/PSMC3/PSMD1/TCF25/RPS27/RPL22L1/RPLP0/PSMA5/RPL10/RPS3A/RPL27A/NEMF/RPL13A/PSMD6/RPL37/PSMC4/RPL12/RPS8/RPL23A/PSMD12/RPL26L1/RPLP1/PSMB5/UBE2D2/RPL14/RPL39/RPS24/RPS11/RPS4X/RPL7A/RPS2/RPL39L/UBC/PSMA7/RPL24/RPS7/RPL36A/RPS16/RPL13/CUL2/ABCE1/RPS17/RBX1/UBE2D1/RPS10/RPL8/UBE2D3/NPLOC4/RPS27A/RPL28/PSMC6/PSMD7/RPSA/RPL22/RPS25/PSMA6/PSMB4/RPL7/ASCC3/UBA52/RPL11/RPS26/RPS14/PSMC2/PSMC5/PSMD11/RPS21/RPS15/RPS27L/RPL18/ANKZF1/UBB/FAU",119
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","97/4735","105/11287",0.923809523809524,2.20211997787499,10.5202434631766,5.83675447150248e-28,7.66410760219595e-26,7.66410760219595e-26,"EIF4A1/RPS12/RPS29/RPL6/RPL17/RPL9/RPS23/RPS28/RPL15/RPL21/RPL19/RPL37A/RPS20/RPL41/RPS6/RPLP2/RPL18A/RPL3/RPS3/RPS15A/RPS13/RPL23/RPL4/RPL27/RPL5/RPL38/RPS19/RPL36AL/RPS18/RPS5/RPL26/EIF3L/EIF3D/RPS27/RPL22L1/RPLP0/EIF4G1/EIF3E/EIF3J/EIF4H/RPL10/RPS3A/RPL27A/EIF1AX/RPL13A/RPL37/EIF2S1/EIF3B/EIF3F/RPL12/EIF4A2/RPS8/RPL23A/EIF2S3/RPL26L1/EIF3I/RPLP1/RPL14/RPL39/RPS24/RPS11/RPS4X/RPL7A/RPS2/RPL39L/RPL24/RPS7/RPL36A/RPS16/RPL13/EIF2S2/RPS17/EIF3G/RPS10/EIF4B/PABPC1/RPL8/RPS27A/RPL28/EIF3M/RPSA/RPL22/EIF3K/RPS25/RPL7/UBA52/EIF4E/RPL11/EIF3A/RPS26/RPS14/EIF3H/RPS21/RPS15/RPS27L/RPL18/FAU",97
"R-HSA-72172","mRNA Splicing","167/4735","213/11287",0.784037558685446,1.86894021644828,10.8835483306143,6.74993251652723e-28,8.23009628979427e-26,8.23009628979427e-26,"TXNL4A/SF3B5/SYF2/ZMAT5/HNRNPA3/LSM7/HNRNPC/POLR2I/RBMX/WBP11/SART1/PHF5A/SNU13/POLR2H/SNRNP70/PDCD7/IK/WDR70/CWC25/SNRPF/SF3B2/HTATSF1/SNRPB/ZCRB1/NSRP1/DHX9/SNRPE/PQBP1/SRSF4/EFTUD2/RBM25/SNRNP40/PTBP1/PCBP2/SF3B1/C9orf78/PNN/SRRT/SNRPA1/PPP1R8/HNRNPH1/LSM8/SF3B4/LSM4/PUF60/LSM3/HNRNPA1/PPIH/POLR2L/SRSF10/RBMX2/PPIL3/YBX1/UPF3B/POLR2D/DDX23/EIF4A3/U2SURP/DDX46/HSPA8/BCAS2/PRPF40A/POLR2A/NCBP2/PRPF38A/HNRNPM/SRSF1/PRPF8/FUS/HNRNPA2B1/TCERG1/ACIN1/USP39/SF3A2/LSM2/HNRNPU/SNRPD3/HNRNPR/BUD13/FAM32A/SRRM2/PCBP1/SF3A3/GTF2F2/SLU7/LSM6/RBM10/SNRNP35/PRCC/PLRG1/ZMAT2/MAGOHB/SNRPA/NCBP1/SRSF3/POLR2C/SRSF11/UBL5/PPIE/BUD31/POLR2G/LUC7L3/RBM8A/POLR2E/DDX5/SRSF5/CWC27/POLR2B/FAM50A/SNRNP27/DHX16/PRPF19/SNRPD2/POLR2F/HNRNPF/PRKRIP1/RBM17/SF3B6/SNRNP25/SNRPC/U2AF2/SMU1/CDC5L/HNRNPL/TRA2B/SRSF9/CCAR1/PPIL1/CWC15/GTF2F1/RBM39/PRPF6/PPIG/SAP18/SRSF2/DDX42/PRPF31/GCFC2/SNRPG/PRPF3/SRRM1/SMNDC1/DHX15/PRPF4/CCDC12/SF3A1/CHERP/XAB2/ZNF830/LSM5/RNPS1/RBM22/HNRNPH2/SF1/RBM42/POLR2J/HNRNPD/PRPF18/DDX41/SNRPD1/SRSF6/DNAJC8/POLR2K/MAGOH/SRSF7/SF3B3/NKAP",167
